cm 						rcp85	 rcp45	 rcp26
 Coast	Site	SiteID	lat	long	year	rcp85_50.0	rcp45_50.0	rcp26_50.0
Gulf of Mexico US	CEDAR KEY II	428	29.14	-83.03	2100	 79	 60	 50
Gulf of Mexico US	EUGENE ISLAND	440	29.37	-91.39	2100	 158	 140	 130
Gulf of Mexico US	PORT ISABEL	497	26.06	-97.22	2100	 99	 80	 70
Gulf of Mexico US	ST. PETERSBURG	520	27.76	-82.63	2100	 88	 68	 59
Gulf of Mexico US	GRAND ISLE	526	29.26	-89.96	2100	 149	 131	 121
Gulf of Mexico US	ROCKPORT	538	28.02	-97.05	2100	 115	 96	 86
Gulf of Mexico US	FREEPORT	725	28.95	-95.31	2100	 137	 118	 108
Gulf of Mexico US	GALVESTON I	828	29.29	-94.79	2100	 124	 105	 95
Gulf of Mexico US	PADRE ISLAND	919	26.07	-97.15	2100	 100	 81	 71
Gulf of Mexico US	SABINE PASS	920	29.70	-93.85	2100	 112	 93	 84
Gulf of Mexico US	PORT MANSFIELD	1038	26.55	-97.42	2100	 94	 74	 65
Gulf of Mexico US	FORT MYERS	1106	26.65	-81.87	2100	 84	 64	 55
Gulf of Mexico US	NAPLES	1107	26.13	-81.81	2100	 82	 63	 53
Gulf of Mexico US	DAUPHIN ISLAND	1156	30.25	-88.08	2100	 92	 74	 64
Gulf of Mexico US	APALACHICOLA	1193	29.73	-84.98	2100	 78	 59	 49
Gulf of Mexico US	KEY COLONY BEACH	1424	24.72	-81.02	2100	 86	 67	 57
Gulf of Mexico US	CLEARWATER BEACH	1638	27.98	-82.83	2100	 87	 68	 58
Gulf of Mexico US	PANAMA CITY	1641	30.15	-85.67	2100	 77	 58	 48
Gulf of Mexico US	VACA KEY	1701	24.71	-81.11	2100	 85	 66	 57
Gulf of Mexico US	SABINE PASS NORTH	1835	29.73	-93.87	2100	 111	 93	 83
Gulf of Mexico US	CORPUS CHRISTI	1903	27.58	-97.22	2100	 105	 86	 77
Atlantic US	NEW YORK	12	40.70	-74.01	2100	 96	 75	 62
Atlantic US	FERNANDINA BEACH	112	30.67	-81.47	2100	 82	 64	 54
Atlantic US	PHILADELPHIA	135	39.93	-75.14	2100	 93	 74	 62
Atlantic US	BALTIMORE	148	39.27	-76.58	2100	 94	 75	 63
Atlantic US	ATLANTIC CITY	180	39.35	-74.42	2100	 104	 84	 71
Atlantic US	PORTLAND 	183	43.66	-70.25	2100	 83	 62	 49
Atlantic US	LEWES	224	38.78	-75.12	2100	 99	 79	 66
Atlantic US	CHARLESTON I	234	32.78	-79.92	2100	 89	 71	 61
Atlantic US	BOSTON	235	42.35	-71.05	2100	 91	 70	 57
Atlantic US	DAYTONA BEACH	270	29.23	-81.00	2100	 78	 59	 49
Atlantic US	SEAVEY ISLAND	288	43.08	-70.74	2100	 80	 59	 46
Atlantic US	SEWELLS POINT	299	36.95	-76.33	2100	 105	 86	 74
Atlantic US	ANNAPOLIS	311	38.98	-76.48	2100	 97	 77	 65
Atlantic US	MAYPORT	316	30.39	-81.43	2100	 83	 64	 54
Atlantic US	EASTPORT	332	44.90	-66.98	2100	 85	 64	 51
Atlantic US	NEWPORT	351	41.51	-71.33	2100	 93	 72	 59
Atlantic US	WASHINGTON DC	360	38.87	-77.02	2100	 93	 74	 62
Atlantic US	WILLETS POINT	362	40.79	-73.78	2100	 92	 72	 59
Atlantic US	MIAMI BEACH	363	25.77	-80.13	2100	 84	 64	 54
Atlantic US	SANDY HOOK	366	40.47	-74.01	2100	 104	 83	 70
Atlantic US	WOODS HOLE	367	41.52	-70.67	2100	 94	 73	 60
Atlantic US	FORT PULASKI	395	32.03	-80.90	2100	 90	 72	 61
Atlantic US	WILMINGTON	396	34.23	-77.95	2100	 82	 64	 54
Atlantic US	PORTSMOUTH	399	36.82	-76.29	2100	 103	 84	 72
Atlantic US	SOLOMON'S ISLAND	412	38.32	-76.45	2100	 99	 79	 68
Atlantic US	NEW LONDON	429	41.36	-72.09	2100	 93	 71	 58
Atlantic US	PROVIDENCE	430	41.81	-71.40	2100	 90	 68	 55
Atlantic US	RICHMOND	462	37.57	-77.45	2100	 91	 72	 61
Atlantic US	MONTAUK	519	41.05	-71.96	2100	 96	 75	 62
Atlantic US	BAR HARBOR	525	44.39	-68.20	2100	 88	 66	 54
Atlantic US	GLOUCESTER POINT	597	37.25	-76.50	2100	 101	 81	 69
Atlantic US	KIPTOPEKE BEACH	636	37.16	-75.99	2100	 98	 79	 67
Atlantic US	JACKSONVILLE	716	30.35	-81.62	2100	 82	 64	 54
Atlantic US	SANDWICH MARINA	775	41.77	-70.50	2100	 93	 71	 58
Atlantic US	BUZZARDS BAY	776	41.74	-70.62	2100	 93	 71	 58
