sector,outcome,scenario,year,model_SD,weather_SD,stat_SD,all_SD
labor,highproductivity,rcp60,2020,0.00143899742172,0.000243377682963,0.000182686522858,0.00154504744727
yields,cottonnoco2,rcp85,2020,0.0354131238119,0.00676024752508,0.00963798239695,0.0437557896115
health,mortage0to0,rcp60,2040,1.20987685947e-05,5.10575487461e-06,4.09805778436e-06,1.53741289086e-05
health,mortage65toinf,rcp45,2020,0.000187038652788,3.52228797204e-05,4.05919205833e-05,0.000204908070421
yields,wheat,rcp60,2040,0.018472580797,0.00260071211938,0.0109947806736,0.0241225684865
health,mortage65toinf,rcp26,2040,0.000181027478473,3.04563877931e-05,8.7476983833e-05,0.000189325307879
yields,maizenoco2,rcp60,2040,0.0786631208707,0.0145262533514,0.00778367786522,0.0828072160908
yields,totalnoco2,rcp26,2020,0.0453822762734,0.00653815962685,0.00593613945721,0.0429264991846
yields,cotton,rcp26,2080,0.0686123833896,0.00608392053327,0.0459272721311,0.0688668799843
health,mortage0to0,rcp85,2080,6.64731971242e-05,1.64954693168e-06,4.04898341637e-05,8.56123265936e-05
yields,cotton,rcp85,2020,0.0376010522944,0.00720926781036,0.0135271918642,0.0472462741608
yields,cottonnoco2,rcp45,2020,0.0438561291608,0.00511892376782,0.106472997059,0.0514572964303
yields,cotton,rcp26,2040,0.0575241814035,0.0059646750436,0.0591266745755,0.0660660874104
yields,grainsnoco2,rcp60,2040,0.0527825372572,0.00863326582429,0.00444149144576,0.055145887884
yields,grains,rcp45,2020,0.057972104445,0.0063676516323,0.0133023406085,0.0602996620188
yields,cotton,rcp85,2080,0.312150213786,0.00590077131722,0.0873075884483,0.318100065735
health,mortage1to44,rcp45,2020,5.47034276843e-06,6.12168497939e-07,3.6953458227e-07,5.45426427767e-06
crime,violent,rcp60,2020,0.0046918367846,0.0001054446305,0.000236238579396,0.00450922582562
yields,maize,rcp85,2040,0.126337732735,0.0102488166115,0.0374814239643,0.127901086494
yields,maizenoco2,rcp85,2080,0.204412829169,0.00366073404733,0.0449536339438,0.205976457954
health,mortage0to0,rcp60,2080,2.51490220237e-05,4.09743056505e-06,2.3182514205e-05,3.31446458205e-05
health,mortage45to64,rcp60,2020,1.45106225715e-05,1.81353684383e-06,5.31301709115e-07,1.45225464674e-05
health,mortality,rcp85,2080,7.98499319065e-05,3.413227184e-06,6.85165122621e-05,0.000104269638573
health,mortage45to64,rcp85,2040,1.75688216115e-05,2.21941506181e-06,6.26753894835e-06,1.85180243541e-05
yields,wheatnoco2,rcp85,2040,0.0253701341371,0.00174485092058,0.0145583352716,0.0312605699117
crime,property,rcp60,2020,0.00226597968297,0.000332911477735,0.000549065606469,0.00235238099256
yields,maizenoco2,rcp26,2020,0.0590777121889,0.010743087392,0.0100382726376,0.0588164258217
yields,wheatnoco2,rcp26,2080,0.0220103071297,0.00219794309674,0.00657127595795,0.0232272414811
yields,maize,rcp85,2020,0.0847274391578,0.00887522091386,0.0126232347619,0.0892010608463
labor,highproductivity,rcp60,2080,0.00360755148782,0.000243685485869,0.00165238164996,0.00360263702955
health,mortage0to0,rcp85,2020,1.52666114765e-05,3.33707067144e-06,9.1624959255e-06,1.59113183831e-05
yields,oilcrop,rcp45,2020,0.076783863971,0.00766736563133,0.0191047955735,0.0898146375307
yields,grains,rcp45,2080,0.139489137566,0.00556093019466,0.0311037536743,0.136807411748
yields,totalnoco2,rcp60,2040,0.0516865815953,0.00904216721524,0.013174761008,0.0539727713155
yields,total,rcp60,2080,0.12037830799,0.00907463979739,0.0539129915403,0.122376019032
yields,wheatnoco2,rcp26,2040,0.0160787534943,0.00179367676934,0.0103755104283,0.0185112761663
yields,cotton,rcp45,2080,0.146328809538,0.00683645566751,0.258209012403,0.156599232349
yields,oilcrop,rcp26,2080,0.089859885733,0.0111848804163,0.0182631730374,0.0872053769973
health,mortage45to64,rcp45,2080,2.44384977974e-05,2.25098841082e-06,1.85867302025e-05,2.96472915831e-05
labor,highproductivity,rcp85,2020,0.00160004100392,0.000290746940392,0.000521023585884,0.00167544561041
health,mortage45to64,rcp45,2040,1.90467073444e-05,2.80376729704e-06,9.66197810567e-06,2.10440729334e-05
labor,highproductivity,rcp85,2080,0.0084999988609,0.000280324137138,0.00222304706114,0.00798130822718
labor,lowproductivity,rcp60,2020,0.000197196948581,9.10600576674e-05,0.000216808470417,0.000364276780003
health,mortage65toinf,rcp26,2080,0.000189313724869,2.44535674406e-05,5.66950295001e-05,0.000194419892729
labor,highproductivity,rcp26,2040,0.00140795000275,0.000339156399279,0.000652702181298,0.0016686727784
yields,oilcrop,rcp26,2020,0.0643115055761,0.00957208306537,0.011759086869,0.0615251390646
yields,grains,rcp26,2040,0.0529386510027,0.00375368618825,0.0169353444275,0.0518822393914
yields,grainsnoco2,rcp26,2080,0.0639005540074,0.00651131410499,0.0115628308127,0.0636006596094
labor,highproductivity,rcp45,2020,0.0018817393872,0.000248790095893,0.0014003505249,0.00195045416714
labor,lowproductivity,rcp85,2020,0.000185114424356,9.35414433323e-05,0.000590543701761,0.000413550229318
yields,total,rcp60,2020,0.0449655240111,0.00881899763843,0.00701003077065,0.0443985735698
yields,grainsnoco2,rcp26,2040,0.0515256594705,0.00366647101048,0.0136998491307,0.0504491541831
yields,grains,rcp60,2020,0.0453312482375,0.00865513238199,0.00870358669718,0.0453976771263
yields,maize,rcp60,2040,0.0813083580529,0.0149403935688,0.00710746588448,0.0856944994935
yields,total,rcp60,2040,0.0551376413416,0.00968453212096,0.0161136860538,0.0583703751835
health,mortage0to0,rcp45,2080,2.51142137183e-05,2.33977977663e-06,1.94448424945e-05,3.36039274166e-05
yields,totalnoco2,rcp45,2040,0.0829045286548,0.00708596536416,0.0121795019555,0.0800634966234
labor,lowproductivity,rcp26,2080,0.000311980656812,9.36497861409e-05,0.000177682711298,0.000499325990639
health,mortage45to64,rcp85,2020,1.48921665756e-05,1.81438500893e-06,3.51443888081e-06,1.46838424876e-05
health,mortage45to64,rcp26,2080,1.44537561193e-05,1.63317151248e-06,1.86237571461e-06,1.48140201207e-05
labor,highproductivity,rcp45,2040,0.00280017992938,0.000302667274795,0.00232046410057,0.0026834851627
yields,maize,rcp60,2020,0.0683565065251,0.0154814567811,0.0165382175,0.0680614484641
yields,wheat,rcp45,2080,0.0459078237564,0.00246202571272,0.0438600445171,0.0554981422772
yields,oilcrop,rcp60,2020,0.0539951537477,0.0142269723776,0.00832069299102,0.0539811164367
yields,maize,rcp26,2080,0.0943289445086,0.0108749044581,0.0220220783254,0.0939934523476
labor,highproductivity,rcp85,2040,0.00305184956519,0.000292931054395,0.000718033844254,0.00306285657335
yields,cotton,rcp60,2020,0.0399713612519,0.00656270780138,0.0106350561672,0.045034390324
yields,grainsnoco2,rcp60,2020,0.0445914332444,0.00854118660003,0.00692740853716,0.0444659432645
health,mortage1to44,rcp26,2020,4.17106764062e-06,4.51880183917e-07,4.63262502215e-07,3.93114362969e-06
yields,totalnoco2,rcp26,2080,0.0689367895835,0.00743777704405,0.0109749028069,0.066657051174
health,mortage45to64,rcp26,2020,1.4030637328e-05,2.03057395498e-06,1.58971359252e-06,1.47649408416e-05
yields,oilcrop,rcp85,2020,0.0736858929397,0.009776780491,0.00603168749876,0.075796638702
yields,cotton,rcp85,2040,0.104123538198,0.00727451158039,0.0343677175502,0.116484019581
health,mortage65toinf,rcp85,2080,0.000447428405727,2.53081021828e-05,0.000387046606927,0.000697932395353
yields,totalnoco2,rcp60,2080,0.10151536128,0.00754900411355,0.0439228313977,0.101074817657
crime,violent,rcp60,2040,0.0050558580513,0.00011562855935,0.000183486945125,0.00511478841715
yields,grainsnoco2,rcp26,2020,0.0393376923552,0.00628486914658,0.00629000851134,0.0388402206719
yields,totalnoco2,rcp85,2040,0.0881896882187,0.00674579920087,0.0113375111717,0.0863774651113
yields,cottonnoco2,rcp60,2080,0.113635755132,0.00625841026579,0.0659285225369,0.127057771311
crime,violent,rcp85,2040,0.00696441798791,0.000130250558498,0.000422518208908,0.00690274200142
health,mortage65toinf,rcp45,2080,0.000226232264122,3.64143669543e-05,0.000134419601716,0.000301197577819
yields,maize,rcp45,2020,0.0860456919948,0.0108223232417,0.0273235610237,0.0895100396779
labor,lowproductivity,rcp45,2040,0.000429124546903,8.91904375734e-05,0.000528037542936,0.000568775800821
yields,wheatnoco2,rcp85,2080,0.0469006598151,0.0019249850853,0.0564400519229,0.0700494842636
yields,cottonnoco2,rcp60,2020,0.038258981733,0.00627789971873,0.00913986642019,0.0427372147546
yields,totalnoco2,rcp45,2080,0.151453498059,0.00636435792311,0.0158068951191,0.141227606077
yields,maizenoco2,rcp60,2080,0.135667929449,0.0113292397194,0.0344874788167,0.144605913484
yields,wheat,rcp45,2020,0.0219522670461,0.00175327282649,0.0100129055976,0.0239503137098
yields,cottonnoco2,rcp45,2080,0.12533546919,0.0058400029637,0.221905898696,0.134378246979
yields,wheat,rcp26,2080,0.0229558471599,0.00228616890446,0.00819510198559,0.0247894359438
yields,total,rcp85,2020,0.0592654957705,0.00590699737992,0.00256454245752,0.0598341605812
crime,violent,rcp45,2080,0.00879485088068,9.94967110273e-05,0.000773557392706,0.00911072203595
yields,grains,rcp60,2080,0.0998304042016,0.00752160885592,0.0145865153331,0.106067657446
