fips,PST045213,PST045212,PST040210,PST120213,PST120212,POP010210,AGE135212,AGE295212,AGE775212,SEX255212,RHI125212,RHI225212,RHI325212,RHI425212,RHI525212,RHI625212,RHI725212,RHI825212,POP715212,POP645212,POP815212,EDU635212,EDU685212,VET605212,LFE305212,HSG010212,HSG445212,HSG096212,HSG495212,HSD410212,HSD310212,INC910212,INC110212,PVY020212,BZA010211,BZA110211,BZA115211,NES010211,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030212,LND110210,POP060210
26115,0,151048,152021,0,-0.6,152021,5.6,23.3,14.6,50.7,95.1,2.3,0.4,0.6,0.0,1.6,3.2,92.2,88.5,2.0,3.8,89.1,17.6,11801,24.5,62796,79.3,13.2,147600,58292,2.58,25772,54588,11.8,2333,34779,0.3,8402,10419,1.7,0.7,1.3,0.0,0.7,28.9,3502955,0,1465317,9555,171549,136,549.39,276.7
26117,0,63097,63342,0,-0.4,63342,5.7,23.3,15.1,48.2,95.1,2.5,0.6,0.4,0.0,1.4,3.1,92.3,88.2,1.3,3.5,86.4,12.8,4780,29.9,28131,80.4,7.1,99400,23361,2.61,19033,40707,18.6,1036,11970,2.8,3612,4483,0.0,0.0,0.0,0.0,0.0,27.8,388978,124840,563109,8962,45828,51,705.40,89.8
26119,0,9476,9765,0,-3.0,9765,3.7,15.9,28.2,49.4,97.7,0.3,0.5,0.2,0.0,1.3,1.2,96.6,88.6,1.1,2.0,84.1,10.5,1247,23.8,9566,85.3,2.4,96700,4312,2.22,19546,34955,18.7,211,1573,0.1,613,854,0.0,0.0,0.0,0.0,0.0,30.1,0,0,70129,6862,7882,12,546.66,17.9
26121,0,170182,172188,0,-1.2,172188,6.4,24.3,14.4,50.7,81.5,14.3,0.9,0.6,0.0,2.7,5.1,77.3,84.3,1.8,4.2,87.6,16.8,14038,21.1,73296,74.7,14.4,105700,65247,2.54,20463,40843,19.5,3268,49204,3.2,9894,11233,5.0,0.0,0.7,0.0,1.2,27.3,3675844,0,1656745,9507,220979,138,499.25,344.9
26123,0,47959,48460,0,-1.0,48460,6.0,23.9,16.8,49.8,96.1,1.1,0.9,0.4,0.0,1.4,5.7,91.0,88.5,2.6,5.5,85.3,13.2,4294,28.9,24949,83.9,5.1,109200,18478,2.58,20926,43180,18.3,784,8891,2.1,2762,4235,0.0,0.0,0.0,0.0,0.0,30.1,560828,71682,355262,7213,32121,43,813.20,59.6
26125,0,1220657,1202362,0,1.5,1202362,5.5,22.6,14.2,51.5,77.3,14.3,0.3,6.1,0.0,2.0,3.7,74.1,86.0,11.2,14.0,92.6,42.7,70064,26.1,527272,72.4,22.2,177600,482978,2.48,36372,65637,9.9,38205,609608,4.4,107888,128040,8.3,0.5,4.7,0.0,1.0,28.6,25885162,29825742,18183680,15131,2284814,1901,867.66,1385.7
26127,0,26310,26570,0,-1.0,26570,6.4,24.5,18.0,49.9,96.1,0.6,1.4,0.4,0.1,1.5,14.2,83.0,88.8,6.0,11.8,83.0,14.7,2455,24.4,15862,83.2,3.9,107900,9654,2.65,18868,39667,20.6,511,4069,-7.3,1747,2255,0.0,0.0,0.0,0.0,0.0,20.6,364129,0,171532,6164,32250,32,512.07,51.9
26129,0,21437,21699,0,-1.2,21699,4.6,19.3,23.3,50.4,97.0,0.3,0.8,0.4,0.0,1.4,1.7,95.7,85.4,1.3,2.2,84.6,10.8,2384,22.8,16008,83.1,3.6,97000,8490,2.52,19106,35320,20.5,584,5785,2.7,1273,1897,0.0,0.0,0.0,0.0,0.0,0.0,151662,0,364748,17118,31109,26,563.49,38.5
26131,0,6413,6780,0,-5.4,6780,2.9,14.2,29.5,48.7,97.0,0.2,1.2,0.2,0.0,1.4,1.0,96.1,93.7,1.6,5.4,89.6,16.7,1098,23.2,5652,85.8,5.5,73100,3333,1.97,21750,33769,15.5,199,1213,-10.5,393,623,0.0,0.0,0.0,0.0,0.0,27.6,0,16629,60901,8767,6753,8,1311.23,5.2
26133,0,23276,23528,0,-1.1,23528,5.7,24.0,17.8,49.7,96.7,0.7,0.6,0.2,0.0,1.8,1.7,95.3,87.2,0.8,4.2,86.7,13.1,2219,24.5,13567,78.8,5.5,95700,8964,2.57,18090,37825,20.0,419,5921,3.7,1406,1841,0.0,0.0,0.0,0.0,0.0,29.5,967956,57690,151621,6562,19225,13,566.39,41.5
