fips,own_code,av_11,av_21,av_22,av_23,av_31,av_42,av_44,av_48,av_51,av_52,av_53,av_54,av_55,av_56,av_61,av_62,av_71,av_72,av_81,av_92
"01007",1,,,,,,,,39,,,,,,,,,,,,31.83333
"01007",3,,,8.6,,,,,0,0,,0,,,,0,0,,0,,165.5
"01007",5,0,0,0,386,443.5,0,443,140.8333,29.4,82.33334,30.5,84.16666,0,0,0,0,8.8,166.4,108.8333,
"01009",1,,,,,,,,63.66667,,,,,,,,,,,,35.66667
"01009",5,0,0,0,557.3333,1768.667,291,1358.833,0,129.5,304.1667,51.33333,133.3333,0,0,0,0,102.1667,537.5,219.1667,
"01009",3,,,46.6,,,,,0,,,0,,,,1063.5,,,,,376.3333
"01009",2,,,,,,,,,,,,,,,0,0,,,,0
"01011",5,488.6667,,0,0,0,4,216.8333,36.8,0,66.66666,30,15.6,0,24.4,0,221.6667,0,0,17,
"01011",3,,,0,,,,,0,,,,,,,0,0,,,,0
"01011",2,,,,,,,0,,,,,,,,0,,,,,52.6
"01011",1,,,,,,,,23.66667,,,,,,,,,,,,17.66667
"01013",5,266,,62.8,306.8333,1407.667,102.5,1042.833,68.6,179.3333,148.1667,53.5,43.5,0,177.5,45.6,439.4,0,0,197,
"01013",2,,,,,,,0,,,,,,,,0,,,,,149.3333
"01013",3,,,4.6,,,,,,0,,0,,,,0,0,,,,289
"01013",1,,,,,,,,42,,,,,,,,,,,,7.666667
"01015",1,,,,,3003,,74,256,,6.333333,,17.33333,,12.83333,0,12.25,,28.16667,,1759.5
"01015",3,,,62.5,,,,,0,0,,62.6,,,0,2438.667,1780,0,0,14.8,1322.667
"01015",5,0,0,305.4,1433.333,8727,2101.833,5865.833,983.2,776.5,983.3333,427.3333,1373.833,66.66666,2637,406.3333,3906.833,194.8333,4358,1035,
"01015",2,,,,,,,11,,,,,,,,193,24.2,,,,492.6
"01017",5,173.5,,80.2,471,4565.333,104.6,1303.5,350.6667,174.3333,196.5,63.66667,31.6,6.8,259,0,0,48.66667,702.8333,197,
"01017",2,,,,,,,0,,,,,,,,0,0,,,,116.8333
"01017",3,,,0,,,,,0,0,,0,0,,,700,,,43.66667,0,420.3333
"01017",1,,,,,,,,55.5,,,,,,,,,,,,3.666667
"01019",5,0,0,0,101.8333,1174,142,810.6667,0,70.5,140.8333,41.33333,38.83333,0,38.16667,,257.1667,5,84.2,85.33334,
"01019",1,,,,,,,,39.33333,,,,,,,,,,,,12.16667
"01019",2,,,,,,,0,,,,,,,,0,,,,,17.2
"01019",3,,,12.6,,,,,0,,,,,,,0,0,,,,161.6
"01021",2,,,,,,,0,,,,,,,,0,0,,,,197.6667
"01021",5,0,0,67.4,642.1667,1419.167,221.4,1452.833,245.1667,68.5,293.1667,62.83333,0,0,104.8333,0,0,25.5,756,223.6667,
"01021",1,,,,,,,,64.16666,,3.5,,,,,,,,,,2.833333
"01021",3,,,12.8,,,,,0,0,,0,,,0,874.4,58.4,,,0,378.5
"01023",3,,,18.2,,,,,0,0,,,,,,0,0,,,,122.3333
"01023",2,,,,,,,0,,,,,,,,0,,,,,39.5
"01023",1,,,,,,,,30,,,,,,,,,,,,.3333333
"01023",5,0,0,0,272.8333,1668.667,0,396,110,25.2,85.4,12.4,59.33333,0,11.2,0,0,17.8,176.4,86.5,
"01025",3,,,30.16667,,,,,0,0,,,,,,0,0,,8.2,0,376.3333
"01025",2,,,,,,,,,,,,,,,0,0,,,,273.3333
"01025",5,159.4,3.25,84.5,385.5,2129.667,93.33334,1532.167,243.8333,81.33334,352.8333,55,46.16667,0,116,0,0,19.4,595.2,221,
"01025",1,,,,,,,,47.5,,,,5.166667,,,,,,,,44
"01027",5,166,,0,79.5,2378.833,0,319.6667,134.6667,15.4,90.33334,20,16.83333,,4.6,0,183.6667,,125.8333,58.33333,
"01027",2,,,,,,,,,,,,,,,0,,,,,0
"01027",1,,,,,,,,33.33333,,,,,,,,,,,,18.33333
"01027",3,,,38.16667,,,,,,,,30.4,,,0,0,0,,,,144.8
"01029",5,0,0,0,287.8333,1020.833,26.6,295.5,0,12.2,18.8,3.2,12.8,,15.6,,42,0,128.1667,42,
"01029",3,,,0,,,,,0,0,,0,,,,320.8333,140.6667,,35,,92.8
"01029",1,,,,,,,,28,,,,,,,,,,,,45.83333
"01029",2,,,,,,,0,,0,,,,,,0,,,,,101.1667
"01031",1,,,,,,,,75.5,,,,,,,22,,,,,103.1667
"01031",3,,,27.83333,,,,,0,0,,18.2,,,,832.4,44,,0,0,512.1667
"01031",2,,,,,,,1,,,,,,,,0,0,,,,187.1667
"01031",5,266.1667,,81.6,459.1667,2989.333,313.1667,2314.167,215,248.6667,407,198.5,255.5,0,0,44.2,1810,137.5,1052.333,402.3333,
"01033",1,,,496.3333,,,,,93.66666,,4.333333,,343,,,,8.25,,,919.5,257.5
"01033",2,,,,,,,2.6,,0,,,,,,0,22.8,0,,,366.3333
"01033",5,32.8,94.4,2.6,1415.167,4026.667,936.1667,2668.833,165.4,189.1667,573.3333,200.1667,0,0,805.8333,51.16667,1386,70.66666,1646.667,690,
"01033",3,,,0,,,,0,,0,,0,,,0,1034,899.6667,0,0,,732.3333
"01035",5,86.16666,0,15.6,74.5,679.5,142.4,295.8333,857.1667,28,57.6,12.6,10,0,20.6,0,0,0,0,63.16667,
"01035",2,,,,,,,0,,,,,,,,0,,,,,143.1667
"01035",1,,,,,,,,33.33333,,,,,,,,,,,,9.333333
"01035",3,,,38.4,,,,,0,,,0,0,,,291.3333,,,,0,191.2
"01037",1,,,,,,,,23.5,,,,,,,,,,,,3.5
"01037",5,57.6,,0,32.8,811,44.8,128.3333,0,0,12.6,5,8,0,2.4,,116.8333,0,0,15.6,
"01037",3,,,0,,,,,0,,,0,,,,0,0,,0,,59.6
"01037",2,,,,,,,0,,,,,,,,0,,,,,23.83333
"01039",2,,,,,,,5.8,0,,,,,,,0,0,,,,185.8
"01039",1,,,,,,,,77.83334,,4.333333,,,,,,,,,,67.5
"01039",5,0,0,98.8,580.6667,2825.167,677.8333,1804.5,106.8,182.1667,344.5,83,397.8333,112.8,66,0,0,64,836.1667,251.3333,
"01039",3,,,0,,,,,0,0,,20.4,,,0,865.2,72.4,,,0,543.6667
"01041",1,,,,,,,,35.66667,,,,,,,,,,,,11.83333
"01041",3,,,0,,,,,,,,0,,,,127,6.4,,,,172
"01041",5,187.5,,0,114,369.3333,289,352,89.6,,81.83334,23.33333,21.4,,23,0,0,0,0,39.33333,
"01041",2,,,,,,,0,,0,,,,,,0,,,,,49
"01043",1,,,.5,,,,,139.3333,,3.666667,,,,,,,,,,112.1667
"01043",2,,,,,,,0,0,,,,,,,0,0,,,,131.2
"01043",5,81.33334,0,109.2,1529.667,5462.833,891.8,3325.333,2337.667,222.3333,675.8333,232.6667,114.6,0,465.5,23,3240.4,81.16666,1941.833,514.8333,
"01043",3,,,77.83334,,,,,0,0,,0,,,,0,0,,,,881.6667
"01045",3,,,26.6,,,,,50.8,0,,29.6,,,0,0,0,,0,,497.8333
"01045",2,,,,,,,0,0,,,,,,,50.8,,,,,93.66666
"01045",1,,,,,,,310,85.83334,4.333333,4,,35.16667,,3.166667,55.33333,150.6667,112.1667,150.8333,,1838.333
"01045",5,0,0,89.2,619.3333,5656.333,245.4,1389.667,510,126.8333,246.8333,110.8333,265,248.1667,303.3333,554.1667,686.1667,20,868.2,286,
"01047",5,254.6667,42.33333,129.6667,631.1667,4474.5,291,2198.167,225.6667,189,281.5,172.1667,71.8,60,419.8333,162.5,2044.167,69.33334,861.3333,543.5,
"01047",3,,,0,,,,,0,0,,0,,,0,1092.833,205.3333,,63,,0
"01047",2,,,,,,,0,,,,,,,,0,0,0,,,332.5
"01047",1,,,,,,,,88.16666,,.3333333,,12.66667,,,,,,,,64.16666
"01049",1,,,,,,,,113.3333,,5,,,,,,,,,,61
"01049",2,,,,,,,0,,,,,0,,,0,0,,,,242.5
"01049",5,0,0,0,704.1667,11453.5,699.8333,2430.833,0,282.1667,487.6667,156,58.8,12.2,534.5,42.33333,1660,84.5,1380,283.6667,
"01049",3,,,81.66666,,,,,0,,,0,,,,0,0,,,0,664.8333
"01051",2,,,,,,,8.8,,,,,,,,0,0,0,,,828.5
"01051",1,,,,,,,,108.8333,,3.833333,,,,,,,,,,26.33333
"01051",5,82,33,145.5,927.1667,2639.667,208.3333,1942.833,234.5,119,302,110.8333,329.8,20.8,409,37.4,672.6,201.5,1188.167,337.1667,
"01051",3,,,9.8,,,,,0,,,0,0,,,0,0,0,0,0,462.8333
"01053",3,,,24.16667,,,,,0,0,,6.8,,,,0,0,0,,,641.1667
"01053",1,,,,,,,,59.33333,,,,,,,,,,,,14.66667
"01053",2,,,,,,,3,0,,,,,,,0,0,,,,513.6667
"01053",5,199.8333,152.6667,94.6,572.1667,2899.833,306.2,1737.833,588.6667,655.6667,485.3333,95.16666,0,0,213.8333,0,0,171.6667,809,276.5,
"01055",2,,,,,,,6.4,,,,,,,,0,30.8,,,,329.3333
"01055",3,,,0,,,,,0,,,0,,,0,0,0,,31.66667,,1386.167
"01055",1,,,,,,,,177.6667,,.75,,,,,,10.75,,,,178.3333
"01055",5,0,0,217.8333,1499.333,6470.333,1145.833,4579.833,1058.667,410.5,992.5,376.6667,682.3333,77.5,2810,157.8333,6022.167,363.8333,3559.833,738.5,
"01057",2,,,,,,,,,,,,,,,0,0,,,,0
"01057",1,,,,,,,,38.5,,,,,,,,,,,,12.33333
"01057",3,,,11.6,,,,,0,0,,0,,,,0,0,0,,,187.5
"01057",5,218.1667,296.1667,0,115.3333,1549.333,0,661.8333,153.6667,59.16667,91,38.16667,0,0,80,1.6,90.6,1.8,48.4,74.33334,
"01059",2,,,,,,,,,,,,,,,0,0,,,,230
"01059",5,16,15.4,0,207.8333,4178,176.1667,965.3333,0,59.83333,327.6667,43.83333,120.1667,110,153,0,0,26.16667,518.3333,161.8333,
"01059",1,,,,,,,,59.83333,,,,,,,,,,,,37
"01059",3,,,85.2,,,,,,0,,22.2,,,,254.1667,182.8333,,,,295.5
"01061",5,219.3333,,51.2,227.8333,1052,295.8333,815,142.8,21,198.1667,53.16667,0,0,120.6667,,300.5,0,0,100.8,
"01061",1,,,,,,,,58.66667,,,,,,,,,,,,17.66667
"01061",2,,,,,,,,,,,,,,,0,,,,,0
"01061",3,,,8.4,,,,,0,0,,0,,,,542.6667,411.5,,0,,323.6667
"01063",2,,,,,,,0,,,,,,,,0,,,,,58.5
"01063",5,125.4,0,0,66.66666,326.3333,20.5,202.8333,7.6,10.8,28.4,3.5,14,,31.6,0,0,0,0,39,
"01063",3,,,0,,,,,0,,,0,,,,0,0,,,,132.5
"01063",1,,,,,,,,26,,,,,,,,,,,,13.33333
"01065",5,179.6667,,14.6,90,1116,37.66667,347.8333,43.2,22.8,83,13.6,28.33333,0,0,0,0,0,0,48.6,
"01065",2,,,,,,,0,,,,,,,,0,,0,,,100
"01065",1,,,,,,,,36.66667,,,,5.5,,,,,,,,15.66667
"01065",3,,,0,,,,,0,0,,0,,,,0,0,,,,190.8333
"01067",5,0,0,0,363.3333,1411,89.16666,380.8333,57.8,0,91.16666,33.5,52,0,0,0,0,2.2,20.4,0,
"01067",1,,,,,,,,35.33333,,,,,,,,,,,,29.5
"01067",2,,,,,,,0,,,,,,,,0,0,,,,74.66666
"01067",3,,,0,,,,,0,,,0,,,0,124.4,2.8,,,0,229
"01069",3,,,10.6,,,,,0,0,,0,,,0,417.4,462.2,,,0,1650.833
"01069",1,,,,,,,,193.3333,,11,,,,,,,,,,139
"01069",5,123,,0,2531,5960,2137.667,7588.667,0,904.5,1113.667,684.1667,1169,113.3333,3112,246.1667,5735.333,395.6667,4310.833,1247.167,
"01069",2,,,,,,,15.2,,,,,,,,0,0,,,,477.6667
"01071",1,,,479,,,,,106.3333,,,,4.25,,,,,,,,24.33333
"01071",3,,,66,,,,,0,0,,21,,,,1321.833,671.3333,0,,0,619.3333
"01071",5,65.6,27.4,0,407.3333,6514.5,475.1667,2235,0,111.6667,396.5,102.6667,94.8,8.4,107.8333,1,176.6,22.4,1020.6,223.8333,
"01071",2,,,,,,,0,,,,,,,,0,0,,,,186.5
