fips,av_11,av_21,av_22,av_23,av_31,av_42,av_44,av_48,av_51,av_52,av_53,av_54,av_55,av_56,av_61,av_62,av_71,av_72,av_81,av_92
"01025",159.4,3.25,114.6667,385.5,2129.667,93.33334,1532.167,291.3333,81.33334,352.8333,55,51.33333,0,116,0,0,19.4,603.4,221,693.6667
"01027",166,0,38.16667,79.5,2378.833,0,319.6667,168,15.4,90.33334,50.4,16.83333,0,4.6,0,183.6667,0,125.8333,58.33333,163.1333
"01029",0,0,0,287.8333,1020.833,26.6,295.5,28,12.2,18.8,3.2,12.8,0,15.6,320.8333,182.6667,0,163.1667,42,239.8
"01031",266.1667,0,109.4333,459.1667,2989.333,313.1667,2315.167,290.5,248.6667,407,216.7,255.5,0,0,898.6,1854,137.5,1052.333,402.3333,802.5
"01033",32.8,94.4,498.9333,1415.167,4026.667,936.1667,2671.433,259.0667,189.1667,577.6666,200.1667,343,0,805.8333,1085.167,2316.717,70.66666,1646.667,1609.5,1356.167
"01035",86.16666,0,54,74.5,679.5,142.4,295.8333,890.5,28,57.6,12.6,10,0,20.6,291.3333,0,0,0,63.16667,343.7
"01037",57.6,0,0,32.8,811,44.8,128.3333,23.5,0,12.6,5,8,0,2.4,0,116.8333,0,0,15.6,86.93333
"01039",0,0,98.8,580.6667,2825.167,677.8333,1810.3,184.6333,182.1667,348.8333,103.4,397.8333,112.8,66,865.2,72.4,64,836.1667,251.3333,796.9667
"01041",187.5,0,0,114,369.3333,289,352,125.2667,0,81.83334,23.33333,21.4,0,23,127,6.4,0,0,39.33333,232.8333
"01043",81.33334,0,187.5333,1529.667,5462.833,891.8,3325.333,2477,222.3333,679.5,232.6667,114.6,0,465.5,23,3240.4,81.16666,1941.833,514.8333,1125.033
"01045",0,0,115.8,619.3333,5656.333,245.4,1699.667,646.6333,131.1667,250.8333,140.4333,300.1667,248.1667,306.5,660.3,836.8334,132.1667,1019.033,286,2429.833
"01047",254.6667,42.33333,129.6667,631.1667,4474.5,291,2198.167,313.8333,189,281.8333,172.1667,84.46667,60,419.8333,1255.333,2249.5,69.33334,924.3333,543.5,396.6667
"01049",0,0,81.66666,704.1667,11453.5,699.8333,2430.833,113.3333,282.1667,492.6667,156,58.8,12.2,534.5,42.33333,1660,84.5,1380,283.6667,968.3333
"01051",82,33,155.3,927.1667,2639.667,208.3333,1951.633,343.3333,119,305.8333,110.8333,329.8,20.8,409,37.4,672.6,201.5,1188.167,337.1667,1317.667
"01053",199.8333,152.6667,118.7667,572.1667,2899.833,306.2,1740.833,648,655.6667,485.3333,101.9667,0,0,213.8333,0,0,171.6667,809,276.5,1169.5
"01055",0,0,217.8333,1499.333,6470.333,1145.833,4586.233,1236.333,410.5,993.25,376.6667,682.3333,77.5,2810,157.8333,6063.717,363.8333,3591.5,738.5,1893.833
"01057",218.1667,296.1667,11.6,115.3333,1549.333,0,661.8333,192.1667,59.16667,91,38.16667,0,0,80,1.6,90.6,1.8,48.4,74.33334,199.8333
"01059",16,15.4,85.2,207.8333,4178,176.1667,965.3333,59.83333,59.83333,327.6667,66.03333,120.1667,110,153,254.1667,182.8333,26.16667,518.3333,161.8333,562.5
"01061",219.3333,0,59.6,227.8333,1052,295.8333,815,201.4667,21,198.1667,53.16667,0,0,120.6667,542.6667,712,0,0,100.8,341.3333
"01063",125.4,0,0,66.66666,326.3333,20.5,202.8333,33.6,10.8,28.4,3.5,14,0,31.6,0,0,0,0,39,204.3333
"01065",179.6667,0,14.6,90,1116,37.66667,347.8333,79.86667,22.8,83,13.6,33.83333,0,0,0,0,0,0,48.6,306.5
"01067",0,0,0,363.3333,1411,89.16666,380.8333,93.13333,0,91.16666,33.5,52,0,0,124.4,2.8,2.2,20.4,0,333.1667
"01069",123,0,10.6,2531,5960,2137.667,7603.867,193.3333,904.5,1124.667,684.1667,1169,113.3333,3112,663.5667,6197.534,395.6667,4310.833,1247.167,2267.5
"01071",65.6,27.4,545,407.3333,6514.5,475.1667,2235,106.3333,111.6667,396.5,123.6667,99.05,8.4,107.8333,1322.833,847.9333,22.4,1020.6,223.8333,830.1666
"01073",33.16667,1838.167,5385.4,21729.33,31943.67,20363,46512.83,12288.6,12810.83,26149.33,5648.833,22545.6,4741,22894.47,8963.567,45054.63,3900.3,26924.17,11555,18118
"01075",67.6,4.2,8.8,129.1667,1753.5,0,402.5,496,26.5,120.8333,21.16667,49.2,0,28.2,312.6667,534.6667,.8,54.95,54.5,149
"01077",90.8,0,168.5,1396.833,4545.667,1409.833,4805.167,164.5,502.5,933.3333,296.5,756.6667,98.83334,1383.333,888,3115.5,286,2823.333,874.8333,1271.5
"01079",0,0,43.46667,320.6667,1703,74.8,716.1667,97.66666,48.6,128.6,26.8,52.5,0,137.5,0,0,0,0,114.6,460.5
"01081",234.2,38.6,191.0333,2106.667,6423.5,804.6667,5630.7,1130.167,489.1667,859.3334,611.3333,390.6,75.6,2682.833,3199.967,3551.933,499.5,4831,861.1667,1799.633
"01083",237.6667,0,893.8333,858.8333,5763.667,484.8333,2474.167,245,182.5,316.3333,131.1667,1602.5,0,0,14.8,203.4,73,1524.5,349.8333,831.3
"01085",0,0,9,325.5,972.3333,6.8,259.1667,85.5,0,64.4,14.6,23.2,0,18.2,15.6,59,0,0,20.16667,215.3333
"01087",14.4,10,0,127.8333,86.4,59.16667,463.3333,72.83333,23.83333,73.33334,29.83333,55,0,28,0,946.1667,0,0,104,569.6667
"01089",0,0,40.75,5581.667,26303.5,4333,18946.87,788.6667,2355.333,3285,1875.333,22547.37,344.8333,10364.07,3077.567,9417.8,2152.833,12575,3953,16360.5
"01091",371.1667,0,88.6,270.1667,2746.833,177.8,914.1333,327.6667,74.83334,263.8333,58.16667,74,0,71,737.5667,1003.6,44.66667,397.8333,135,422.3333
"01093",83.4,28.4,49.16667,201.8333,4724.667,56,973.5,312.5,47.66667,357.6667,58.36667,380.8333,0,55.66667,678.5,1156.5,24.6,423.2,150.3333,344.8
"01095",0,0,277.1667,1360.667,12185.33,1592,4955.667,976.0667,752,890.3333,504,410.6667,17.8,1505.167,2075.5,2872.567,234.8333,2352.5,588.3333,1345.833
"01097",886.3333,451.5,972.2,11574.67,16549.17,7799.333,21559.5,5599.1,2663.167,5552.333,3306.333,8558.5,397.8333,12232.83,5368.167,21208.5,1377.267,12905.33,6131.667,7294.834
"01099",0,0,47.8,110.5,3298.167,212.6,874.1667,959.1667,108.1667,180.8333,33.5,45.9,29.8,148.8333,0,0,0,0,148.3333,282
"01101",260.5,87.83334,602,6201.667,11958.5,5534,14625.33,5351.5,2658.467,7074.167,2023,6115.833,622.8333,8178,8696.833,14500,1375.5,9690.833,4259.833,16164.33
"01103",87.2,88,145,3466.667,12687.83,1383,5913.3,177,444.8667,1626.5,489.1667,1025.833,255.6667,3144.667,2606.167,4643.267,279.8333,3571.833,1110,1826.767
"01105",15.4,0,4,51.33333,596.3333,0,254.3333,22.8,0,58.8,12.2,6.2,0,4,229.6,291,0,117.1667,0,80.16667
"01107",0,0,29.2,126,854.6667,91.83334,523.3333,62.53333,21.4,181.5,43.66667,26.16667,0,0,491.8333,0,16.4,124.6,126.8333,239
"01109",88,0,0,539,2349,0,1655.5,1435.333,139.1667,356,98.83334,138,72.8,115.6,746,947.8333,37.33333,1142.333,185.8333,811
"01111",0,0,0,106.5,1906.667,0,682.1667,228.6667,58.66667,151.1667,41.33333,46.5,0,80.83334,203.2,87.4,12,363.8,73.33334,247.5
"01113",0,0,80.2,842.5,3086.167,130.4,1967.167,276.6667,112.8333,333.1667,176.1667,198.3333,8.8,151,1150.633,609.6,59.66667,1175.5,391.2333,198.8333
"01115",0,0,106.6667,1122.833,2360.5,1027.5,2139.333,411.3333,134,358.5,124.1667,156.8,63.4,359.3333,1297.333,251.6,52.33333,1374.833,297.3333,995.3333
