ANSI,NAME,REGION
5113,"Polk County, AR","SEA"
5115,"Pope County, AR","SEA"
5117,"Prairie County, AR","SEA"
5119,"Pulaski County, AR","SEA"
5121,"Randolph County, AR","SEA"
5123,"St. Francis County, AR","SEA"
5125,"Saline County, AR","SEA"
5127,"Scott County, AR","SEA"
5129,"Searcy County, AR","SEA"
5131,"Sebastian County, AR","SEA"
5133,"Sevier County, AR","SEA"
5135,"Sharp County, AR","SEA"
5137,"Stone County, AR","SEA"
5139,"Union County, AR","SEA"
5141,"Van Buren County, AR","SEA"
5143,"Washington County, AR","SEA"
5145,"White County, AR","SEA"
5147,"Woodruff County, AR","SEA"
5149,"Yell County, AR","SEA"
6001,"Alameda County, CA","SPC"
6003,"Alpine County, CA","SWE"
6005,"Amador County, CA","SWE"
6007,"Butte County, CA","SWE"
6009,"Calaveras County, CA","SWE"
6011,"Colusa County, CA","SWE"
6013,"Contra Costa County, CA","SPC"
6015,"Del Norte County, CA","SPC"
6017,"El Dorado County, CA","SWE"
6019,"Fresno County, CA","SWE"
6021,"Glenn County, CA","SWE"
6023,"Humboldt County, CA","SPC"
6025,"Imperial County, CA","SWE"
6027,"Inyo County, CA","SWE"
6029,"Kern County, CA","SWE"
6031,"Kings County, CA","SWE"
6033,"Lake County, CA","SWE"
6035,"Lassen County, CA","SWE"
6037,"Los Angeles County, CA","SPC"
6039,"Madera County, CA","SWE"
6041,"Marin County, CA","SPC"
6043,"Mariposa County, CA","SWE"
6045,"Mendocino County, CA","SPC"
6047,"Merced County, CA","SWE"
6049,"Modoc County, CA","SWE"
6051,"Mono County, CA","SWE"
6053,"Monterey County, CA","SPC"
6055,"Napa County, CA","SPC"
6057,"Nevada County, CA","SWE"
6059,"Orange County, CA","SPC"
6061,"Placer County, CA","SWE"
6063,"Plumas County, CA","SWE"
6065,"Riverside County, CA","SPC"
6067,"Sacramento County, CA","SPC"
6069,"San Benito County, CA","SPC"
6071,"San Bernardino County, CA","SPC"
6073,"San Diego County, CA","SPC"
6075,"San Francisco County, CA","SPC"
6077,"San Joaquin County, CA","SPC"
