"county","violent","property"
"01001",NA,NA
"01003",NA,NA
"01005",NA,NA
"01009",NA,NA
"01011",NA,NA
"01013",NA,NA
"01015",NA,NA
"01017",NA,NA
"01019",NA,NA
"01021",NA,NA
"01023",NA,NA
"01025",NA,NA
"01027",NA,NA
"01029",NA,NA
"01031",NA,NA
"01033",NA,NA
"01035",NA,NA
"01037",NA,NA
"01039",NA,NA
"01041",NA,NA
"01043",NA,NA
"01045",NA,NA
"01047",NA,NA
"01049",NA,NA
"01051",NA,NA
"01053",NA,NA
"01055",NA,NA
"01057",NA,NA
"01059",NA,NA
"01061",NA,NA
"01063",NA,NA
"01065",NA,NA
"01067",NA,NA
"01069",NA,NA
"01071",NA,NA
"01073",NA,NA
"01075",NA,NA
"01077",NA,NA
"01079",NA,NA
"01081",NA,NA
"01083",NA,NA
"01085",NA,NA
"01087",NA,NA
"01089",NA,NA
"01091",NA,NA
"01093",NA,NA
"01095",NA,NA
"01097",57.8611111111111,203.180555555556
"01099",NA,NA
"01101",NA,NA
"01103",NA,NA
"01105",NA,NA
"01107",NA,NA
"01109",NA,NA
"01111",NA,NA
"01113",NA,NA
"01115",NA,NA
"01117",NA,NA
"01119",NA,NA
"01121",NA,NA
"01123",NA,NA
"01125",NA,NA
"01127",NA,NA
"01129",NA,NA
"01131",NA,NA
"01133",NA,NA
"04001",17.5972222222222,41.1944444444444
"04003",146.472222222222,352.958333333333
"04005",204.652777777778,523.638888888889
"04007",61.7777777777778,140.111111111111
"04009",9.59722222222222,47.8472222222222
"04011",2.09722222222222,6.22222222222222
"04012",13.6388888888889,60.75
"04013",3340,16175.5416666667
"04015",191.513888888889,657.416666666667
"04017",82.0972222222222,204.583333333333
"04019",1515.95833333333,5029.70833333333
"04021",211.666666666667,710.819444444444
"04023",27.1388888888889,80.75
"04025",166.472222222222,515.777777777778
"04027",142.854166666667,405.375
"05001",19.9305555555556,47.875
"05003",11.5138888888889,41.8333333333333
"05005",NA,NA
"05007",79.4861111111111,323.152777777778
"05009",7.91666666666667,48.5833333333333
"05011",3.33333333333333,16.6944444444444
"05013",1.06944444444444,3.48611111111111
"05015",15.4444444444444,42.0972222222222
"05017",14.4027777777778,24.7638888888889
"05019",19.2083333333333,35.4027777777778
"05021",4.77777777777778,17.2777777777778
"05023",14.4333333333333,40.95
"05025",1,9.75
"05027",21.4375,73.6458333333333
"05029",5.18055555555556,24.7222222222222
"05031",79.0277777777778,262.638888888889
"05033",41.3194444444444,83.0972222222222
"05035",123.472222222222,193.069444444444
"05037",9.56944444444444,28.1805555555556
"05039",7.11111111111111,20.4305555555556
"05041",16.4861111111111,40.1388888888889
"05043",10.8055555555556,32.8055555555556
"05045",NA,NA
"05047",6.45833333333333,12.5
"05049",1.65277777777778,10
"05051",142.138888888889,407.902777777778
"05053",4.93055555555556,8.63888888888889
"05055",35.625,81.875
"05057",20.3611111111111,63.6111111111111
"05059",16.6166666666667,56.8
"05061",6.55555555555556,20.9583333333333
"05063",8.69444444444444,104.875
"05065",2.18055555555556,9.86111111111111
"05067",17.5,41.2916666666667
"05069",148.791666666667,391.805555555556
"05071",5.79166666666667,33.8958333333333
"05073",0.9,2.73333333333333
"05075",7.95833333333333,18.9305555555556
"05077",12.6944444444444,30.0694444444444
"05079",2.40277777777778,9.36111111111111
"05081",5.31944444444444,15.4861111111111
"05083",8.61111111111111,24.25
"05085",45.4722222222222,123.444444444444
"05087",6.05,10.45
"05089",NA,NA
"05091",132.083333333333,174.513888888889
"05093",84.9861111111111,210.027777777778
"05095",3.33333333333333,5
"05097",4.08333333333333,8.83333333333333
"05099",1.85416666666667,7.375
"05101",2.08333333333333,4.02083333333333
"05103",34.6666666666667,59.6388888888889
"05105",3.88888888888889,7.30555555555556
"05107",21.4666666666667,54.0166666666667
"05109",3.76666666666667,6.56666666666667
"05111",35,82.8888888888889
"05113",7.41666666666667,19.4166666666667
"05115",30.0833333333333,112.083333333333
"05117",3.19444444444444,8.15277777777778
"05121",10.2833333333333,20.7833333333333
"05123",54.7361111111111,119.972222222222
"05125",55.2916666666667,213.5
"05127",11.8611111111111,17.3333333333333
"05129",NA,NA
"05131",230.944444444444,587.430555555556
"05133",5.27777777777778,17.2916666666667
"05135",4.29166666666667,11.9166666666667
"05137",0.861111111111111,4.13888888888889
"05139",53.1388888888889,140.513888888889
