Region,FIPS,County,EA,"EA Name"
"IL - Chicago",18111,"Newton County, IN",032,"Chicago-Naperville-Michigan City, IL-IN-WI"
"IL - Chicago",18127,"Porter County, IN",032,"Chicago-Naperville-Michigan City, IL-IN-WI"
"IL - Chicago",55059,"Kenosha County, WI",032,"Chicago-Naperville-Michigan City, IL-IN-WI"
"IN - Indianapolis",17023,"Clark County, IL",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",17033,"Crawford County, IL",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",17045,"Edgar County, IL",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",17101,"Lawrence County, IL",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18005,"Bartholomew County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18007,"Benton County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18011,"Boone County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18013,"Brown County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18015,"Carroll County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18017,"Cass County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18021,"Clay County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18023,"Clinton County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18031,"Decatur County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18035,"Delaware County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18041,"Fayette County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18045,"Fountain County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18055,"Greene County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18057,"Hamilton County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18059,"Hancock County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18063,"Hendricks County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18065,"Henry County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18067,"Howard County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18071,"Jackson County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18079,"Jennings County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18081,"Johnson County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18083,"Knox County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18093,"Lawrence County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18095,"Madison County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18097,"Marion County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18103,"Miami County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18105,"Monroe County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18107,"Montgomery County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18109,"Morgan County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18117,"Orange County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18119,"Owen County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18121,"Parke County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18133,"Putnam County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18135,"Randolph County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18139,"Rush County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18145,"Shelby County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18153,"Sullivan County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18157,"Tippecanoe County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18159,"Tipton County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18161,"Union County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18165,"Vermillion County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18167,"Vigo County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18171,"Warren County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18177,"Wayne County, IN",078,"Indianapolis-Anderson-Columbus, IN"
"IN - Indianapolis",18181,"White County, IN",078,"Indianapolis-Anderson-Columbus, IN"
